id,subfolder,target,Number,Degree,Case,Gender,Variant
viral/deu_news_1998_1M-sentences.txt/16364544,1995-2000,"[('viral/ADJ',)]","[('Plur',)]",[],"[('Dat',)]",[],[]
viral/deu_news_1998_1M-sentences.txt/16627963,1995-2000,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],[],[]
viral/deu_news_1998_1M-sentences.txt/20201169,1995-2000,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_1999_1M-sentences.txt/1594055,1995-2000,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],[],[]
viral/deu_news_1999_1M-sentences.txt/3601469,1995-2000,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_1999_1M-sentences.txt/3729842,1995-2000,"[('viral/ADJ',)]","[('Plur',)]",[],[],[],[]
viral/deu_news_1999_1M-sentences.txt/6933848,1995-2000,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],[],[]
viral/deu_news_1999_1M-sentences.txt/7404422,1995-2000,"[('viral/ADJ',)]","[('Plur',)]",[],[],[],[]
viral/deu_news_1999_1M-sentences.txt/7835262,1995-2000,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_1999_1M-sentences.txt/10895798,1995-2000,"[('viral/ADJ',)]","[('Plur',)]",[],"[('Dat',)]",[],[]
viral/deu_news_1999_1M-sentences.txt/13084249,1995-2000,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_1999_1M-sentences.txt/13420633,1995-2000,"[('viral/ADJ',)]","[('Plur',)]","[('Pos',)]",[],[],[]
viral/deu_news_1999_1M-sentences.txt/20304589,1995-2000,"[('viral/ADJ',)]","[('Plur',)]",[],[],[],[]
viral/deu_news_2000_1M-sentences.txt/7235552,1995-2000,"[('viral/ADJ',)]","[('Sing',)]",[],[],"[('Neut',)]",[]
viral/deu_news_2000_1M-sentences.txt/13598049,1995-2000,"[('viral/ADJ',)]","[('Plur',)]","[('Pos',)]",[],[],[]
viral/deu_news_2000_1M-sentences.txt/18851215,1995-2000,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],"[('Neut',)]",[]
viral/deu_news_2001_1M-sentences.txt/5785001,2001-2005,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2001_1M-sentences.txt/7584000,2001-2005,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],"[('Neut',)]",[]
viral/deu_news_2001_1M-sentences.txt/11701383,2001-2005,"[('viral/ADJ',)]","[('Plur',)]",[],[],[],[]
viral/deu_news_2002_1M-sentences.txt/19844013,2001-2005,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2002_1M-sentences.txt/21229073,2001-2005,"[('viral/ADJ',)]","[('Sing',)]",[],[],"[('Fem',)]",[]
viral/deu_news_2003_1M-sentences.txt/670116,2001-2005,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],[],[]
viral/deu_news_2003_1M-sentences.txt/5672607,2001-2005,"[('viral/ADJ',)]","[('Plur',)]",[],"[('Dat',)]",[],[]
viral/deu_news_2003_1M-sentences.txt/13092146,2001-2005,"[('viral/ADJ',)]","[('Plur',)]",[],[],[],[]
viral/deu_news_2003_1M-sentences.txt/15649124,2001-2005,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2003_1M-sentences.txt/17193930,2001-2005,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2004_1M-sentences.txt/1313144,2001-2005,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],"[('Neut',)]",[]
viral/deu_news_2004_1M-sentences.txt/4966661,2001-2005,"[('viral/ADJ',)]","[('Plur',)]",[],[],[],[]
viral/deu_news_2004_1M-sentences.txt/5656397,2001-2005,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],[],[]
viral/deu_news_2004_1M-sentences.txt/6723519,2001-2005,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],[],[]
viral/deu_news_2004_1M-sentences.txt/16887708,2001-2005,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],"[('Neut',)]",[]
viral/deu_news_2005_1M-sentences.txt/1360316,2001-2005,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2005_1M-sentences.txt/4469061,2001-2005,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],[],[]
viral/deu_news_2005_1M-sentences.txt/11178315,2001-2005,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],[],[]
viral/deu_news_2005_1M-sentences.txt/12282941,2001-2005,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]","[('Dat',)]",[],[]
viral/deu_news_2005_1M-sentences.txt/14361344,2001-2005,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],[],[]
viral/deu_news_2005_1M-sentences.txt/16665440,2001-2005,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
